Slug Name,Project Start,Project End,days,Requirements Analysis,Feasibility Assessment,Concept Validation,Prototyping,Architecture,Detailed Design,Material Selection,ID Capture,CAD Modeling,Simulation & Analysis,Tolerance Analysis,DFM,DFx,Strategy,Prototype Iteration,Validation,Thermal Analysis,Vibration and Acoustic Testing,Mechanical Testing,FMEA,Supply Chain,Tooling Design,Manufacturing Support,QC,Value Engineering,Documentation,Regulatory,IP,Sustainability,Continuous Improvement
dreamjob,11/23/2025,12/31/2040,5517,110.34,55.17,110.34,275.85,275.85,275.85,55.17,110.34,1655.1,55.17,55.17,165.51,110.34,55.17,275.85,165.51,55.17,55.17,275.85,55.17,110.34,165.51,110.34,110.34,110.34,275.85,110.34,55.17,55.17,165.51
Freelance,9/1/2022,11/23/2025,1179,23.58,11.79,23.58,58.95,58.95,58.95,11.79,23.58,353.7,11.79,11.79,35.37,23.58,11.79,58.95,35.37,11.79,11.79,58.95,11.79,23.58,35.37,23.58,23.58,23.58,58.95,23.58,11.79,11.79,35.37
Makeline,5/1/2021,8/24/2022,480,9.6,4.8,9.6,24,24,24,4.8,9.6,144,4.8,4.8,14.4,9.6,4.8,24,14.4,4.8,4.8,24,4.8,9.6,14.4,9.6,9.6,9.6,24,9.6,4.8,4.8,14.4
Dispensers,12/1/2021,8/24/2022,266,5.32,2.66,5.32,13.3,13.3,13.3,2.66,5.32,79.8,2.66,2.66,7.98,5.32,2.66,13.3,7.98,2.66,2.66,13.3,2.66,5.32,7.98,5.32,5.32,5.32,13.3,5.32,2.66,2.66,7.98
Backsplash,7/1/2021,12/31/2021,183,3.66,1.83,3.66,9.15,9.15,9.15,1.83,3.66,54.9,1.83,1.83,5.49,3.66,1.83,9.15,5.49,1.83,1.83,9.15,1.83,3.66,5.49,3.66,3.66,3.66,9.15,3.66,1.83,1.83,5.49
Portion Cup,5/1/2021,8/15/2021,106,2.12,1.06,2.12,5.3,5.3,5.3,1.06,2.12,31.8,1.06,1.06,3.18,2.12,1.06,5.3,3.18,1.06,1.06,5.3,1.06,2.12,3.18,2.12,2.12,2.12,5.3,2.12,1.06,1.06,3.18
Pet Scale,2/1/2019,3/15/2019,42,0.84,0.42,0.84,2.1,2.1,2.1,0.42,0.84,12.6,0.42,0.42,1.26,0.84,0.42,2.1,1.26,0.42,0.42,2.1,0.42,0.84,1.26,0.84,0.84,0.84,2.1,0.84,0.42,0.42,1.26
battery lock,1/1/2019,4/15/2019,104,2.08,1.04,2.08,5.2,5.2,5.2,1.04,2.08,31.2,1.04,1.04,3.12,2.08,1.04,5.2,3.12,1.04,1.04,5.2,1.04,2.08,3.12,2.08,2.08,2.08,5.2,2.08,1.04,1.04,3.12
IOT module,11/1/2018,2/1/2019,92,1.84,0.92,1.84,4.6,4.6,4.6,0.92,1.84,27.6,0.92,0.92,2.76,1.84,0.92,4.6,2.76,0.92,0.92,4.6,0.92,1.84,2.76,1.84,1.84,1.84,4.6,1.84,0.92,0.92,2.76
bay wheels,11/1/2018,5/1/2019,181,3.62,1.81,3.62,9.05,9.05,9.05,1.81,3.62,54.3,1.81,1.81,5.43,3.62,1.81,9.05,5.43,1.81,1.81,9.05,1.81,3.62,5.43,3.62,3.62,3.62,9.05,3.62,1.81,1.81,5.43
Switches,7/1/2017,3/1/2018,243,4.86,2.43,4.86,12.15,12.15,12.15,2.43,4.86,72.9,2.43,2.43,7.29,4.86,2.43,12.15,7.29,2.43,2.43,12.15,2.43,4.86,7.29,4.86,4.86,4.86,12.15,4.86,2.43,2.43,7.29
Extension Switches,3/1/2017,2/1/2018,337,6.74,3.37,6.74,16.85,16.85,16.85,3.37,6.74,101.1,3.37,3.37,10.11,6.74,3.37,16.85,10.11,3.37,3.37,16.85,3.37,6.74,10.11,6.74,6.74,6.74,16.85,6.74,3.37,3.37,10.11
