#,Slug Name,Descriptive Name,Employer,Client,Title,Codename,Project Start Date raw,Y start,M start,D start,Project End Date raw,Y end,M end ,D end,Days,Biz Days,midpoint,midpoint Y,1.25
89,dreamjob,,#awesomejob,,,,11/23/2025,2025,11,23,12/31/2040,2040,12,31,5517,3941,6/12/2033,2033,6896.25
88,Freelance,,Mechanistic,,Senior Mechanical Design Engineer,,9/1/2022,2022,9,1,11/23/2025,2025,11,23,1179,842,4/12/2024,2024,1473.75
87,Makeline,,Hyphen,,Staff Mechanical Engineer,,5/1/2021,2021,5,1,8/24/2022,2022,8,24,480,343,12/27/2021,2021,600
86,Dispensers,,Hyphen,,Staff Mechanical Engineer,Gen 2,12/1/2021,2021,12,1,8/24/2022,2022,8,24,266,191,4/13/2022,2022,332.5
85,Backsplash,,Hyphen,,Staff Mechanical Engineer,Gen 1,7/1/2021,2021,7,1,12/31/2021,2021,12,31,183,132,9/30/2021,2021,228.75
84,Portion Cup,,Hyphen,,Staff Mechanical Engineer,Gen 1,5/1/2021,2021,5,1,8/15/2021,2021,8,15,106,75,6/23/2021,2021,132.5
83,Pet Scale,,Mechanistic,Synapse/Purina/Tailio,Senior Mechanical Engineer,Garfield,2/1/2019,2019,2,1,3/15/2019,2019,3,15,42,31,2/22/2019,2019,52.5
82,electronic battery lock,,Mechanistic,Synapse/Lyft/Motivate,Senior Mechanical Engineer,halfdome,1/1/2019,2019,1,1,4/15/2019,2019,4,15,104,75,2/22/2019,2019,130
81,IOT module,,Mechanistic,Synapse/Lyft/Motivate,Senior Mechanical Engineer,Sonoma,11/1/2018,2018,11,1,2/1/2019,2019,2,1,92,67,12/17/2018,2018,115
80,bay wheels,,Mechanistic,Synapse/Lyft/Motivate,Senior Mechanical Engineer,watson,11/1/2018,2018,11,1,5/1/2019,2019,5,1,181,130,1/30/2019,2019,226.25
79,Switches,On/Off Switches,Noon,,Senior Mechanical Engineer,Sativa?,7/1/2017,2017,7,1,3/1/2018,2018,3,1,243,174,10/30/2017,2017,303.75
78,Extension Switches,,Noon,,Senior Mechanical Engineer,Elvis?,3/1/2017,2017,3,1,2/1/2018,2018,2,1,337,242,8/16/2017,2017,421.25
77,Room Director,,Noon,,Senior Mechanical Engineer,Sativa?,8/1/2017,2017,8,1,1/1/2018,2018,1,1,153,110,10/16/2017,2017,191.25
76,Wall Plates,,Noon,,Senior Mechanical Engineer,Waldo,3/1/2017,2017,3,1,2/1/2018,2018,2,1,337,242,8/16/2017,2017,421.25
