Name,Employer,Title,Project Start,Project End,days,Ideation,Research,Development,Validation,Production
dreamjob,Mechanistic,Senior Mechanical Design Engineer,9/1/2022,4/30/2024,607,21,158,91,100,185
Freelance,Hyphen,Staff Mechanical Engineer,5/1/2021,8/24/2022,480,30,132,47,85,186
Makeline,Hyphen,Staff Mechanical Engineer,12/1/2021,8/24/2022,266,22,66,34,42,102
Dispensers,Hyphen,Staff Mechanical Engineer,7/1/2021,12/31/2021,183,18,46,22,26,71
Backsplash,Hyphen,Staff Mechanical Engineer,5/1/2021,8/15/2021,106,16,26,13,17,34
Portion Cup,Mechanistic,Senior Mechanical Engineer,2/1/2019,3/15/2019,42,12,10,5,7,8
Pet Scale,Mechanistic,Senior Mechanical Engineer,1/1/2019,4/15/2019,104,18,26,13,20,27
electronic battery lock,Mechanistic,Senior Mechanical Engineer,11/1/2018,2/1/2019,92,16,23,12,18,23
IOT module,Mechanistic,Senior Mechanical Engineer,11/1/2018,5/1/2019,181,24,46,23,36,52
bay wheels,Noon,Senior Mechanical Engineer,7/1/2017,3/1/2018,243,42,110,55,74,145
Switches,Noon,Senior Mechanical Engineer,3/1/2017,2/1/2018,337,42,110,55,74,145
Extension Switches,Noon,Senior Mechanical Engineer,8/1/2017,1/1/2018,153,42,110,55,74,145
Room Director,Noon,Senior Mechanical Engineer,3/1/2017,2/1/2018,337,42,110,55,74,145
Wall Plates,Noon,Senior Mechanical Engineer,3/17/2017,5/1/2018,410,30,56,28,38,154
Base,Avegant,Senior Mechanical Engineer,10/17/2015,3/1/2017,501,67,160,80,117,199
Glyph 2,Avegant,Senior Mechanical Engineer,6/1/2015,3/1/2017,639,71,164,82,122,200
Glyph,Mechanistic,Senior Mechanical Engineer,12/1/2016,3/14/2024,2660,75,590,295,450,1250
BFD,Kaleidescape,Senior Mechanical Engineer,6/1/2014,2/1/2015,245,30,54,27,40,94
Strato,Kaleidescape,Senior Mechanical Design Engineer,8/1/2012,9/1/2013,396,42,104,52,68,130
Cinema One,Kaleidescape,Senior Mechanical Design Engineer,8/1/2010,7/1/2011,334,34,82,41,55,122
M700,Kaleidescape,Senior Mechanical Design Engineer,8/2/2010,7/2/2011,334,34,82,41,55,122
DV700,Kaleidescape,Senior Mechanical Design Engineer,6/1/2010,12/1/2010,183,22,46,23,34,58
Disc Cartridges,Kaleidescape,Senior Mechanical Design Engineer,4/20/2009,8/1/2009,103,17,26,13,20,27
K-Remote,Kaleidescape,Senior Mechanical Design Engineer,6/1/2010,8/1/2010,61,11,15,7,13,15
Weemote,Kaleidescape,Senior Mechanical Design Engineer,4/1/2010,7/1/2010,91,15,23,11,16,26
M500,Kaleidescape,Senior Mechanical Design Engineer,3/1/2010,5/1/2010,61,11,11,6,11,22
M300,Kaleidescape,Senior Mechanical Design Engineer,3/2/2010,5/2/2010,61,11,11,6,10,23
KSERVER-1500,Kaleidescape,Senior Mechanical Design Engineer,9/1/2010,6/1/2011,273,34,66,33,40,100
KVAULT-10,Kaleidescape,Senior Mechanical Design Engineer,6/1/2009,4/1/2010,304,35,72,36,48,113
Jewel,Kaleidescape,Senior Mechanical Design Engineer,1/1/2009,6/1/2009,151,19,38,19,28,47
KSYSTEM-120,Kaleidescape,Senior Mechanical Design Engineer,6/1/2008,3/1/2009,273,34,66,33,40,100
KSERVER-5000,Kaleidescape,Senior Mechanical Design Engineer,5/1/2008,2/1/2009,276,35,67,34,41,99
Speed Reader,Kaleidescape,Senior Mechanical Design Engineer,5/1/2008,8/1/2008,92,15,23,11,16,27
KSERVER-1500,Kaleidescape,Senior Mechanical Design Engineer,3/1/2008,1/1/2009,306,35,72,36,48,115
KPLAYER-300,Kaleidescape,Senior Mechanical Design Engineer,3/2/2008,1/2/2009,306,35,72,36,49,114
KPLAYER-6000,Kaleidescape,Senior Mechanical Design Engineer,3/1/2008,12/1/2008,275,35,67,33,45,95
KPLAYER-5000,Kaleidescape,Senior Mechanical Design Engineer,3/2/2008,12/2/2008,275,35,67,33,45,95
KPLAYER-2500,Kaleidescape,Senior Mechanical Design Engineer,3/3/2008,12/3/2008,275,35,68,34,46,92
KSERVER-2500,Digidesign,Senior Mechanical Designer,10/1/2007,4/1/2008,183,22,46,23,34,58
Mbox 2 Micro,Digidesign,Senior Mechanical Designer,5/1/2007,10/1/2007,153,19,38,19,28,49
003 Rack,Digidesign,Senior Mechanical Designer,2/1/2007,5/1/2007,89,14,16,8,16,35
Mbox 2 Mini,Digidesign,Senior Mechanical Designer,6/1/2006,11/1/2006,153,19,38,19,28,49
Mbox 2 Pro,Digidesign,Senior Mechanical Designer,6/1/2006,2/1/2007,245,30,54,27,40,94
003,Digidesign,Senior Mechanical Designer,8/1/2006,7/1/2007,334,41,73,60,89,71
Control 24,Digidesign,Senior Mechanical Designer,9/1/2005,11/1/2005,61,11,15,7,13,15
Mbox 2,Digidesign,Senior Mechanical Designer,2/1/2005,7/1/2005,150,18,38,19,28,47
Profile,Digidesign,Senior Mechanical Designer,2/1/2005,7/1/2005,150,18,38,19,28,47
D-Show,Digidesign,Senior Mechanical Designer,8/1/2004,3/1/2005,212,26,53,27,35,71
D-Control,Digidesign,Senior Mechanical Designer,4/1/2004,9/1/2004,153,19,38,19,28,49
D-Command,Digidesign,Senior Mechanical Designer,6/1/2003,4/1/2004,305,35,72,36,48,114
Pro Control Jr.,Digidesign,Senior Mechanical Designer,5/1/2003,10/1/2003,153,19,38,19,28,49
002 Rack,Digidesign,Senior Mechanical Designer,3/1/2003,10/1/2003,214,26,54,27,41,66
Mbox,Mechanistic,Senior Mechanical Designer,9/1/2002,12/1/2002,91,11,15,7,13,15
Xbox,Mechanistic,Senior Mechanical Designer,6/1/2002,8/1/2002,61,11,15,7,13,15
Receiver 5,Mechanistic,Senior Mechanical Designer,1/1/2002,5/1/2002,120,6,6,3,6,10
Receiver 4,Mechanistic,Senior Mechanical Designer,10/1/2001,12/1/2001,61,6,6,3,6,10
Receiver 3,Mechanistic,Senior Mechanical Designer,9/1/2001,11/1/2001,61,11,15,7,13,15
Receiver 2,Mechanistic,Senior Mechanical Designer,7/1/2001,1/1/2002,184,22,46,23,34,59
Mercury LC,Mechanistic,Senior Mechanical Designer,6/1/2001,8/1/2001,61,11,15,7,13,15
usb box,Mechanistic,Senior Mechanical Designer,5/1/2001,8/1/2001,92,15,23,11,16,27
Remotes,Mechanistic,Senior Mechanical Designer,4/1/2001,11/1/2001,214,26,54,27,41,66
Receiver 1,Mechanistic,Senior Mechanical Designer,12/1/2000,1/1/2001,31,6,6,6,6,7
Node,Mechanistic,Senior Mechanical Designer,11/1/2000,4/1/2001,151,30,30,30,30,31
Media Nodes,Mechanistic,Senior Mechanical Designer,7/1/2000,11/1/2000,123,25,24,25,24,25
MP6000 MP3 Player,Mechanistic,Senior Mechanical Designer,5/1/2000,7/1/2000,61,12,12,13,12,12
Keyboard,Mechanistic,Senior Mechanical Designer,4/1/2000,6/1/2000,61,12,12,13,12,12
LapTV,Mechanistic,Senior Mechanical Designer,4/1/2000,5/1/2000,30,6,6,6,6,6
Remote,Mechanistic,Senior Mechanical Designer,2/1/2000,4/1/2000,60,12,12,12,12,12
Netscreen-500,Mechanistic,Senior Mechanical Designer,8/1/1998,9/1/1998,31,6,6,6,7,6
320 540,Mechanistic,Senior Mechanical Designer,6/1/1998,7/1/1998,30,6,6,6,6,6
HP Jornada,frogdesign,Mechanical Designer,3/1/1998,5/1/1998,61,12,12,13,12,12
DVDO Player,frogdesign,Mechanical Designer,10/1/1997,11/1/1997,31,6,6,6,7,6
Vadem Clio,frogdesign,Mechanical Designer,7/1/1997,12/1/1997,153,31,30,31,30,31
KaVo Dental Unit 2,frogdesign,Mechanical Designer,7/1/1997,8/1/1997,31,6,6,6,7,6
Acer Phone,Mechanistic,Mechanical Designer,7/1/1997,10/1/1997,92,18,18,19,18,19
KaVo Dental Unit 1,Mechanistic,Mechanical Designer,6/1/1997,8/1/1997,61,12,12,13,12,12
Acer subwoofer,Mechanistic,Mechanical Designer,2/1/1997,10/1/1997,242,48,48,49,48,49
Newscorp set-top box,Mechanistic,Mechanical Designer,2/1/1996,3/1/1996,29,6,6,6,5,6
Packard Bell Convertible,Mechanistic,Mechanical Designer,2/1/1996,5/1/1996,90,18,18,18,18,18
Acer Aspire,Mechanistic,Mechanical Designer,5/1/1995,1/1/1996,245,49,49,49,49,49
Fissler BBQ,Mechanistic,Mechanical Designer,1/1/1995,3/1/1995,59,12,12,12,12,11
Sunbeam window toaster,Mechanistic,Mechanical Designer,4/1/1992,3/1/1993,334,67,67,67,66,67
Frantic Frames,Silicon Graphics,Technician IV,3/1/1992,1/1/1993,306,61,61,61,60,61
Indy,Silicon Graphics,Technician IV,4/1/1991,10/1/1992,549,18,18,19,18,19
Indigo II,Silicon Graphics,Technician IV,11/1/1989,6/1/1991,577,48,48,49,48,49
Indigo,Silicon Graphics,Technician IV,2/1/1990,10/1/1990,242,36,37,36,37,36
Iris File,Silicon Graphics,Technician IV,7/1/1989,11/1/1991,853,36,36,37,36,36
Personal IRIS,EP Technologies,Production Supervisor,1/1/1987,6/1/1989,882,176,176,177,176,177
EPT-1000,,,,,,,,,,
