 Slug Name,Project Start,Project End,days,Communication Skills,Feasibility Analysis,Ideation,User-Centered Design,Trend Analysis,Problem Solving,Design Planning,Cross-functional Collaboration,Product Conceptualization,User Experience (UX) Design,Innovation,Design Research,Risk Assessment,Cost/Benefit Analysis,Technical Feasibility,Decision Making,Business Acumen,Technical Communication,CAD (Computer-Aided Design),Prototyping,Materials Knowledge,Product Testing,Performance Analysis,Reliability Testing,Usability Testing,Simulation,Data Analysis,Continuous Improvement,Iterative Design,Value Engineering,Feedback Incorporation,Iterative Prototyping,Process Optimization,Materials Selection,Production Planning,Supplier Management,Cost Reduction,Design for Manufacturing (DFM),Jig and Fixture Design,Testing Automation,Tolerance Analysis,Production Coordination,Assembly Processes,Quality Management,Lean Manufacturing,Six Sigma,Inspection Techniques,Statistical Process Control (SPC),Human Factors and Ergonomics,Geometric Design and Tolerancing (GD&T),Failure Mode and Effects Analysis (FMEA),Graphic Design,Consumer Psychology,Product Launch Planning,Supply Chain Management,Logistics Planning,Global Logistics,Project Management,Launch Planning,Stakeholder Communication,Risk Management,Project Coordination,Customer Feedback Analysis,Product Knowledge,Post-Launch Analysis,KPI Tracking,Root Cause Analysis,Lessons Learned,Agile Methodology
dreamjob,11/23/2025,12/31/2040,5517,275.85,55.17,55.17,55.17,55.17,275.85,275.85,55.17,110.34,55.17,55.17,165.51,55.17,55.17,55.17,165.51,55.17,275.85,55.17,275.85,55.17,165.51,55.17,110.34,55.17,110.34,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,55.17,165.51,55.17,55.17,55.17,55.17,55.17,55.17,55.17
Freelance,9/1/2022,11/23/2025,1179,58.95,11.79,11.79,11.79,11.79,58.95,58.95,11.79,23.58,11.79,11.79,35.37,11.79,11.79,11.79,35.37,11.79,58.95,11.79,58.95,11.79,35.37,11.79,23.58,11.79,23.58,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,35.37,11.79,11.79,11.79,11.79,11.79,11.79,11.79
Makeline,5/1/2021,8/24/2022,480,24,4.8,4.8,4.8,4.8,24,24,4.8,9.6,4.8,4.8,14.4,4.8,4.8,4.8,14.4,4.8,24,4.8,24,4.8,14.4,4.8,9.6,4.8,9.6,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,14.4,4.8,4.8,4.8,4.8,4.8,4.8,4.8
Dispensers,12/1/2021,8/24/2022,266,13.3,2.66,2.66,2.66,2.66,13.3,13.3,2.66,5.32,2.66,2.66,7.98,2.66,2.66,2.66,7.98,2.66,13.3,2.66,13.3,2.66,7.98,2.66,5.32,2.66,5.32,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,7.98,2.66,2.66,2.66,2.66,2.66,2.66,2.66
Backsplash,7/1/2021,12/31/2021,183,9.15,1.83,1.83,1.83,1.83,9.15,9.15,1.83,3.66,1.83,1.83,5.49,1.83,1.83,1.83,5.49,1.83,9.15,1.83,9.15,1.83,5.49,1.83,3.66,1.83,3.66,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,5.49,1.83,1.83,1.83,1.83,1.83,1.83,1.83
Portion Cup,5/1/2021,8/15/2021,106,5.3,1.06,1.06,1.06,1.06,5.3,5.3,1.06,2.12,1.06,1.06,3.18,1.06,1.06,1.06,3.18,1.06,5.3,1.06,5.3,1.06,3.18,1.06,2.12,1.06,2.12,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,3.18,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Pet Scale,2/1/2019,3/15/2019,42,2.1,0.42,0.42,0.42,0.42,2.1,2.1,0.42,0.84,0.42,0.42,1.26,0.42,0.42,0.42,1.26,0.42,2.1,0.42,2.1,0.42,1.26,0.42,0.84,0.42,0.84,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,1.26,0.42,0.42,0.42,0.42,0.42,0.42,0.42
electronic battery lock,1/1/2019,4/15/2019,104,5.2,1.04,1.04,1.04,1.04,5.2,5.2,1.04,2.08,1.04,1.04,3.12,1.04,1.04,1.04,3.12,1.04,5.2,1.04,5.2,1.04,3.12,1.04,2.08,1.04,2.08,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,3.12,1.04,1.04,1.04,1.04,1.04,1.04,1.04
IOT module,11/1/2018,2/1/2019,92,4.6,0.92,0.92,0.92,0.92,4.6,4.6,0.92,1.84,0.92,0.92,2.76,0.92,0.92,0.92,2.76,0.92,4.6,0.92,4.6,0.92,2.76,0.92,1.84,0.92,1.84,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,2.76,0.92,0.92,0.92,0.92,0.92,0.92,0.92
bay wheels,11/1/2018,5/1/2019,181,9.05,1.81,1.81,1.81,1.81,9.05,9.05,1.81,3.62,1.81,1.81,5.43,1.81,1.81,1.81,5.43,1.81,9.05,1.81,9.05,1.81,5.43,1.81,3.62,1.81,3.62,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,5.43,1.81,1.81,1.81,1.81,1.81,1.81,1.81
