Slug Name,Employer,Plastic,Sheetmetal,PCB,PCBA
dreamjob,awesomejob,84,35,53,24
Freelance,Mechanistic,80,40,79,64
Makeline,Hyphen,12,76,70,60
Dispensers,Hyphen,61,50,10,72
Backsplash,Hyphen,6,11,17,62
Portion Cup,Hyphen,24,32,22,50
Pet Scale,Mechanistic,70,39,68,61
electronic battery lock,Mechanistic,33,66,31,94
IOT module,Mechanistic,91,72,67,60
bay wheels,Mechanistic,99,69,14,50
Switches,Noon,5,13,43,86
Extension Switches,Noon,6,12,65,39
Room Director,Noon,94,34,28,32
Wall Plates,Noon,39,70,68,98
Base,Noon,10,24,39,94
Glyph 2,Avegant,12,66,71,26
Glyph,Avegant,27,62,77,48
BFD,Mechanistic,96,45,12,92
Strato,Kaleidescape,60,86,29,1
Cinema One,Kaleidescape,98,38,65,89
M700,Kaleidescape,96,8,48,46
DV700,Kaleidescape,27,37,15,53
Disc Cartridges,Kaleidescape,55,48,50,27
K-Remote,Kaleidescape,28,34,57,50
Weemote,Kaleidescape,19,67,24,69
M500,Kaleidescape,23,6,57,47
M300,Kaleidescape,48,11,85,62
KSERVER-1500,Kaleidescape,28,19,88,71
KVAULT-10,Kaleidescape,73,20,7,77
Jewel,Kaleidescape,1,57,81,86
KSYSTEM-120,Kaleidescape,53,100,14,23
KSERVER-5000,Kaleidescape,36,68,92,20
Speed Reader,Kaleidescape,8,79,90,3
KSERVER-1500,Kaleidescape,53,27,8,56
KPLAYER-300,Kaleidescape,14,69,48,93
KPLAYER-6000,Kaleidescape,22,25,32,25
KPLAYER-5000,Kaleidescape,97,26,26,55
KPLAYER-2500,Kaleidescape,51,87,37,80
KSERVER-2500,Kaleidescape,68,2,43,49
Mbox 2 Micro,Digidesign,40,61,98,60
003 Rack,Digidesign,80,36,30,24
Mbox 2 Mini,Digidesign,82,71,14,14
Mbox 2 Pro,Digidesign,19,20,86,43
003,Digidesign,4,24,98,81
Control 24,Digidesign,56,7,90,19
Mbox 2,Digidesign,21,86,10,6
Profile,Digidesign,67,88,80,78
D-Show,Digidesign,99,29,61,22
D-Control,Digidesign,59,91,72,51
D-Command,Digidesign,77,3,72,64
Pro Control Jr.,Digidesign,76,21,72,74
002 Rack,Digidesign,17,38,45,3
Mbox,Digidesign,21,39,61,61
Xbox,Mechanistic,93,26,79,20
Receiver 5,Mechanistic,17,83,48,32
Receiver 4,Mechanistic,57,84,52,60
Receiver 3,Mechanistic,99,49,40,26
Receiver 2,Mechanistic,58,76,93,50
Mercury LC,Mechanistic,13,11,22,10
usb box,Mechanistic,18,1,44,66
Remotes,Mechanistic,81,49,47,4
Receiver 1,Mechanistic,42,21,2,80
Node,Mechanistic,47,58,43,48
Media Nodes,Mechanistic,14,2,43,2
MP6000 MP3 Player,Mechanistic,46,80,12,4
Keyboard,Mechanistic,85,85,19,75
LapTV,Mechanistic,91,61,73,37
Remote,Mechanistic,53,23,71,21
Netscreen-500,Mechanistic,75,8,88,69
320 540,Mechanistic,79,33,77,85
HP Jornada,Mechanistic,91,69,6,43
DVDO Player,frogdesign,64,38,14,5
Vadem Clio,frogdesign,48,33,9,91
KaVo Dental Unit 2,frogdesign,83,56,22,29
Acer Phone,frogdesign,57,8,6,38
KaVo Dental Unit 1,Mechanistic,76,78,38,69
Acer subwoofer,Mechanistic,61,94,43,17
Newscorp set-top box,Mechanistic,96,73,29,77
Packard Bell Convertible,Mechanistic,45,11,20,1
Acer Aspire,Mechanistic,57,79,92,11
Fissler BBQ,Mechanistic,28,34,74,69
Sunbeam window toaster,Mechanistic,20,16,67,98
Frantic Frames,Mechanistic,15,24,27,21
Indy,Silicon Graphics,50,74,39,57
Indigo II,Silicon Graphics,99,21,76,70
Indigo,Silicon Graphics,70,19,68,59
Iris File,Silicon Graphics,84,53,40,19
Personal IRIS,Silicon Graphics,78,43,94,49
EPT-1000,EP Technologies,52,51,99,70
