Name,Color,Type
Mechanistic,#2E5CFF,Employer
Hyphen,#00C2FF,Employer
Noon,#4B5563,Employer
Avegant,#9CA3AF,Employer
Kaleidescape,#2E5CFF,Employer
Digidesign,#00C2FF,Employer
frogdesign,#2E5CFF,Employer
Silicon Graphics,#00C2FF,Employer
EP Technologies,#4B5563,Employer
Requirements Analysis,#9CA3AF,Skill
Feasibility Assessment,#4B5563,Skill
Concept Validation,#2E5CFF,Skill
Prototyping,#00C2FF,Skill
High-Level Design,#2E5CFF,Skill
Detailed Design and Engineering,#00C2FF,Skill
Material Selection,#9CA3AF,Skill
ID Capture (Industrial Design) Collaboration,#2E5CFF,Skill
CAD Modeling,#00C2FF,Skill
Structural Analysis and Simulation,#4B5563,Skill
Tolerance Analysis,#9CA3AF,Skill
Design for Manufacturing (DFM),#2E5CFF,Skill
Design for Assembly (DFA),#00C2FF,Skill
Risk Assessment and Mitigation,#4B5563,Skill
Prototype Testing and Iteration,#2E5CFF,Skill
Validation Testing (EVT DVT PVT),#00C2FF,Skill
Thermal Analysis,#9CA3AF,Skill
Vibration and Acoustic Testing,#4B5563,Skill
Mechanical Testing (e.g. tensile impact),#2E5CFF,Skill
Failure Mode and Effects Analysis (FMEA),#00C2FF,Skill
Supply Chain Collaboration,#9CA3AF,Skill
Tooling Design,#2E5CFF,Skill
Manufacturing Support,#00C2FF,Skill
Quality Control and Inspection,#4B5563,Skill
Cost Analysis and Value Engineering,#9CA3AF,Skill
Documentation (Technical Drawings Specifications),#4B5563,Skill
Regulatory Compliance (CE FCC etc.),#9CA3AF,Skill
Intellectual Property Considerations,#4B5563,Skill
Sustainability and Environmental Impact,#2E5CFF,Skill
Post-Launch Support and Continuous Improvement,#00C2FF,Skill
